學年度,階段,學號,宿舍,房號
103,第一志願,0215406,女二舍,311
103,第一志願, 0215408,女二舍,311
103,第一志願, 0215418,女二舍,311
103,第一志願, 0215430,女二舍,311
103,第一志願,0213102,女二舍,312
103,第一志願, 0213130,女二舍,312
103,第一志願, 0213135,女二舍,312
103,第一志願, 0213144,女二舍,312
103,第一志願,0213305,女二舍,314
103,第一志願, 0213345,女二舍,314
103,第一志願, 0213349,女二舍,314
103,第一志願, 0213350,女二舍,314
103,第一志願,0211511,女二舍,323
103,第一志願, 0211537,女二舍,323
103,第一志願, 0211551,女二舍,323
103,第一志願, 0215339,女二舍,323
103,第一志願,0210124,女二舍,331
103,第一志願, 0210146,女二舍,331
103,第一志願, 0210181,女二舍,331
103,第一志願, 0212225,女二舍,331
103,第一志願,0215416,女二舍,332
103,第一志願, 0215420,女二舍,332
103,第一志願, 0215421,女二舍,332
103,第一志願, 0215440,女二舍,332
103,第一志願,0213211,女二舍,361
103,第一志願, 0213212,女二舍,361
103,第一志願, 0213232,女二舍,361
103,第一志願, 0213245,女二舍,361
103,第一志願,0211605,女二舍,374
103,第一志願, 0211606,女二舍,374
103,第一志願, 0211608,女二舍,374
103,第一志願, 0211625,女二舍,374
103,第一志願,0215305,女二舍,413
103,第一志願, 0215306,女二舍,413
103,第一志願, 0215309,女二舍,413
103,第一志願, 0215321,女二舍,413
103,第一志願,0213401,女二舍,442
103,第一志願, 0213412,女二舍,442
103,第一志願, 0213421,女二舍,442
103,第一志願, 0213429,女二舍,442
103,第一志願,0015326,女二舍,451
103,第一志願, 0210717,女二舍,451
103,第一志願, 0210745,女二舍,451
103,第一志願, 0210837,女二舍,451
103,第一志願,0113418,女二舍,452
103,第一志願, 0113419,女二舍,452
103,第一志願, 0113421,女二舍,452
103,第一志願, 0113429,女二舍,452
103,第一志願,0212122,女二舍,462
103,第一志願, 0216059,女二舍,462
103,第一志願, 0216067,女二舍,462
103,第一志願, 0216218,女二舍,462
103,第一志願,0113215,女二舍,464
103,第一志願, 0113245,女二舍,464
103,第一志願, 0115403,女二舍,464
103,第一志願, 0115423,女二舍,464
103,第一志願,0213422,女二舍,471
103,第一志願, 0213428,女二舍,471
103,第一志願, 0217003,女二舍,471
103,第一志願, 0217018,女二舍,471
103,第一志願,0210730,女二舍,472
103,第一志願, 0210781,女二舍,472
103,第一志願, 0210794,女二舍,472
103,第一志願, 0210813,女二舍,472
103,第一志願,0210505,女二舍,482
103,第一志願, 0210529,女二舍,482
103,第一志願, 0210530,女二舍,482
103,第一志願, 0210534,女二舍,482
103,第一志願,0211204,女二舍,511
103,第一志願, 0211221,女二舍,511
103,第一志願, 0212020,女二舍,511
103,第一志願, 0212128,女二舍,511
